PGE,SCE,SDGE,VEA,CAISO,timestamp
9900.1,9492.77,2127.31,70.12,21590.3,2024-01-01 01:00:00
9596.68,9191.53,2133.96,70.95,20993.12,2024-01-01 02:00:00
9251.76,9006.48,2061.19,72.34,20391.78,2024-01-01 03:00:00
9079.88,8769.04,1986.3,74.98,19910.2,2024-01-01 04:00:00
9049.64,8694.78,1917.04,79.62,19741.08,2024-01-01 05:00:00
9237.19,8812.33,1926.63,86.56,20062.71,2024-01-01 06:00:00
9606.86,9053.31,1954.69,93.29,20708.15,2024-01-01 07:00:00
9924.55,9095.72,1966.41,93.86,21080.54,2024-01-01 08:00:00
9932.51,8993.47,1843.3,129.62,20898.9,2024-01-01 09:00:00
9627.06,9290.25,1675.59,122.78,20715.68,2024-01-01 10:00:00
9251.97,9762.38,1677.31,127.88,20819.55,2024-01-01 11:00:00
8899.43,9717.74,1579.07,120.83,20317.07,2024-01-01 12:00:00
8844.84,9470.03,1503.32,107.2,19925.39,2024-01-01 13:00:00
8967.02,9208.22,1595.37,83.83,19854.43,2024-01-01 14:00:00
9309.66,8984.38,1632.09,54.74,19980.86,2024-01-01 15:00:00
9598.26,8929.37,1812.61,55.77,20396.01,2024-01-01 16:00:00
10211.35,9795.32,2223.14,63.53,22293.34,2024-01-01 17:00:00
11216.64,10776.53,2481.23,73.08,24547.47,2024-01-01 18:00:00
11354.39,10891.92,2517.54,75.48,24839.33,2024-01-01 19:00:00
11142.82,10843.17,2458.63,76.74,24521.36,2024-01-01 20:00:00
11109.11,10732.31,2397.06,77.4,24315.88,2024-01-01 21:00:00
10827.9,10672.63,2310.8,78.53,23889.87,2024-01-01 22:00:00
10316.21,10232.65,2162.16,77.6,22788.62,2024-01-01 23:00:00
9757.36,9691.84,2025.81,76.94,21551.96,2024-01-02 00:00:00
9401.76,9266.42,2021.12,78.34,20767.63,2024-01-02 01:00:00
9055.79,9141.21,1944.58,80.38,20221.96,2024-01-02 02:00:00
8837.2,9004.76,1898.05,83.35,19823.36,2024-01-02 03:00:00
8797.92,8851.08,1872.85,86.78,19608.64,2024-01-02 04:00:00
8990.87,9037.86,1914.18,93.09,20036.0,2024-01-02 05:00:00
9599.2,9708.33,2046.79,102.51,21456.82,2024-01-02 06:00:00
10449.04,10490.71,2250.07,110.73,23300.54,2024-01-02 07:00:00
11270.29,10952.33,2327.61,111.13,24661.36,2024-01-02 08:00:00
11695.62,11382.6,2291.42,155.88,25525.53,2024-01-02 09:00:00
11648.77,11606.48,2164.54,149.62,25569.41,2024-01-02 10:00:00
11372.67,11571.91,1954.31,111.41,25010.3,2024-01-02 11:00:00
11036.12,11551.41,1798.31,127.24,24513.07,2024-01-02 12:00:00
10768.61,10975.2,1640.87,108.79,23493.47,2024-01-02 13:00:00
10722.86,10892.43,1675.9,78.64,23369.84,2024-01-02 14:00:00
11286.54,10789.2,1851.83,71.8,23999.37,2024-01-02 15:00:00
11613.71,10662.03,2114.74,65.18,24455.66,2024-01-02 16:00:00
12102.35,11097.52,2404.26,70.75,25674.88,2024-01-02 17:00:00
12708.47,11963.89,2686.0,77.28,27435.64,2024-01-02 18:00:00
12589.73,11960.72,2689.23,81.07,27320.75,2024-01-02 19:00:00
12283.26,11873.29,2620.56,82.6,26859.71,2024-01-02 20:00:00
11970.87,11724.2,2530.25,83.12,26308.44,2024-01-02 21:00:00
11575.91,11602.2,2415.39,83.03,25676.53,2024-01-02 22:00:00
10902.19,10996.79,2241.8,81.09,24221.87,2024-01-02 23:00:00
10263.88,10521.68,2096.4,78.77,22960.73,2024-01-03 00:00:00
10120.97,9858.82,2051.92,77.59,22109.31,2024-01-03 01:00:00
9919.41,9643.16,1972.23,76.64,21611.44,2024-01-03 02:00:00
10052.04,9339.81,1912.38,76.75,21380.97,2024-01-03 03:00:00
10026.47,9161.71,1929.17,77.16,21194.5,2024-01-03 04:00:00
9640.31,9241.32,1992.98,79.61,20954.22,2024-01-03 05:00:00
10169.21,9630.15,2029.08,82.16,21910.6,2024-01-03 06:00:00
10823.14,10510.9,2193.53,87.96,23615.54,2024-01-03 07:00:00
11350.52,11128.11,2447.06,92.95,25018.64,2024-01-03 08:00:00
11365.29,11506.59,2640.06,96.13,25608.08,2024-01-03 09:00:00
10984.11,11492.56,2823.16,93.91,25393.73,2024-01-03 10:00:00
10356.77,11555.37,2763.41,88.73,24764.28,2024-01-03 11:00:00
10226.53,10894.71,2440.44,90.34,23652.02,2024-01-03 12:00:00
10467.29,10654.48,2099.15,80.53,23301.45,2024-01-03 13:00:00
10290.67,10608.25,1946.5,63.19,22908.61,2024-01-03 14:00:00
10686.66,10851.79,2067.36,68.56,23674.36,2024-01-03 15:00:00
11137.08,10917.62,2265.55,79.43,24399.69,2024-01-03 16:00:00
11829.0,11417.19,2507.81,83.44,25837.44,2024-01-03 17:00:00
12555.64,12124.51,2767.7,91.39,27539.24,2024-01-03 18:00:00
12560.74,12172.44,2774.46,92.76,27600.4,2024-01-03 19:00:00
12308.4,12040.7,2687.47,94.23,27130.81,2024-01-03 20:00:00
12053.29,11863.3,2595.26,93.36,26605.21,2024-01-03 21:00:00
11688.22,11641.92,2472.71,90.12,25892.96,2024-01-03 22:00:00
11055.2,11098.98,2331.29,85.86,24571.32,2024-01-03 23:00:00
10441.49,10510.09,2295.22,82.3,23329.1,2024-01-04 00:00:00
10033.38,9856.82,2160.05,80.13,22130.37,2024-01-04 01:00:00
10059.57,9469.84,2091.18,79.47,21700.07,2024-01-04 02:00:00
10030.68,9314.24,2051.82,80.77,21477.5,2024-01-04 03:00:00
9840.6,9254.25,1995.52,82.96,21173.32,2024-01-04 04:00:00
9690.43,9433.56,1979.36,86.99,21190.34,2024-01-04 05:00:00
10218.64,10041.05,2102.54,93.12,22455.34,2024-01-04 06:00:00
11113.81,10887.9,2322.88,100.23,24424.82,2024-01-04 07:00:00
11854.5,11255.8,2404.0,99.69,25613.99,2024-01-04 08:00:00
11940.89,11400.47,2338.78,131.3,25811.44,2024-01-04 09:00:00
11242.47,11510.92,2011.16,127.61,24892.18,2024-01-04 10:00:00
10606.38,11529.38,1746.81,108.34,23990.9,2024-01-04 11:00:00
10178.16,11629.19,1648.39,123.65,23579.39,2024-01-04 12:00:00
10145.4,11908.61,1637.8,129.66,23821.47,2024-01-04 13:00:00
9960.78,11680.18,1967.64,122.27,23730.88,2024-01-04 14:00:00
9909.02,11586.34,2090.94,86.47,23672.77,2024-01-04 15:00:00
10391.29,10734.62,2146.3,73.53,23345.73,2024-01-04 16:00:00
11326.63,11136.44,2414.18,73.34,24950.59,2024-01-04 17:00:00
12300.63,12038.15,2674.55,83.3,27096.63,2024-01-04 18:00:00
12391.31,12101.95,2700.31,84.99,27278.56,2024-01-04 19:00:00
12177.3,12224.25,2647.49,86.32,27135.35,2024-01-04 20:00:00
11991.18,11872.01,2575.53,85.68,26524.4,2024-01-04 21:00:00
11480.83,11588.16,2535.4,83.46,25687.84,2024-01-04 22:00:00
10958.26,11410.05,2407.45,79.9,24855.65,2024-01-04 23:00:00
10374.29,10978.34,2359.05,77.76,23789.44,2024-01-05 00:00:00
10145.07,10131.17,2410.67,77.56,22764.47,2024-01-05 01:00:00
9824.28,9762.16,2249.63,78.7,21914.78,2024-01-05 02:00:00
9655.85,9534.17,2058.75,80.88,21329.65,2024-01-05 03:00:00
9678.82,9469.22,2026.31,83.37,21257.72,2024-01-05 04:00:00
9687.75,9668.52,2087.97,88.78,21533.03,2024-01-05 05:00:00
10085.39,10238.39,2174.66,94.62,22593.06,2024-01-05 06:00:00
10878.76,10999.79,2364.72,99.89,24343.17,2024-01-05 07:00:00
11503.34,11415.82,2537.22,102.15,25558.52,2024-01-05 08:00:00
11472.43,11707.26,2394.18,99.41,25673.27,2024-01-05 09:00:00
10656.05,11602.86,2068.66,88.29,24415.86,2024-01-05 10:00:00
9877.97,12005.05,1919.23,79.28,23881.5,2024-01-05 11:00:00
9010.57,11530.47,1781.25,67.91,22390.2,2024-01-05 12:00:00
9309.57,11038.26,1869.95,88.65,22306.43,2024-01-05 13:00:00
9585.49,11249.13,2015.56,122.21,22972.39,2024-01-05 14:00:00
10100.86,11508.64,2143.9,122.46,23875.85,2024-01-05 15:00:00
10450.08,10966.74,2276.73,74.82,23768.36,2024-01-05 16:00:00
11195.72,10964.79,2431.78,71.14,24663.42,2024-01-05 17:00:00
12088.55,11823.57,2626.13,80.21,26618.46,2024-01-05 18:00:00
12132.04,11895.51,2634.74,81.87,26744.15,2024-01-05 19:00:00
11873.94,11817.04,2579.38,84.48,26354.84,2024-01-05 20:00:00
11637.33,11758.52,2519.55,86.39,26001.78,2024-01-05 21:00:00
11344.43,11740.45,2439.17,84.08,25608.14,2024-01-05 22:00:00
10835.21,11230.26,2287.1,81.25,24433.83,2024-01-05 23:00:00
10394.64,10580.4,2143.24,79.08,23197.36,2024-01-06 00:00:00
10272.22,10112.63,2158.24,78.92,22622.0,2024-01-06 01:00:00
9906.8,9719.93,2074.9,80.93,21782.56,2024-01-06 02:00:00
9727.71,9439.09,2004.74,82.92,21254.46,2024-01-06 03:00:00
9643.71,9315.01,1968.2,86.72,21013.64,2024-01-06 04:00:00
9706.74,9362.76,1970.45,91.93,21131.88,2024-01-06 05:00:00
