COAST,EAST,FWEST,NORTH,NCENT,SOUTH,SCENT,WEST,ERCOT,timestamp
10484.14,1375.74,6210.08,1250.4,11799.51,2929.8,6020.39,1153.42,41223.48,2024-01-01 01:00:00
10365.82,1455.24,6223.67,1272.98,12094.7,2916.99,5987.55,1162.46,41479.4,2024-01-01 02:00:00
10206.97,1396.97,6270.22,1290.71,12414.59,2835.8,5874.88,1182.63,41472.77,2024-01-01 03:00:00
10086.53,1424.0,6263.89,1311.94,12609.78,2783.93,5789.15,1208.22,41477.44,2024-01-01 04:00:00
10097.44,1507.47,6281.78,1335.54,13158.83,2741.22,5816.64,1245.27,42184.19,2024-01-01 05:00:00
10194.6,1566.41,6258.39,1374.11,13723.71,2780.69,5966.53,1285.05,43149.5,2024-01-01 06:00:00
10344.87,1667.52,6303.01,1400.58,14362.66,2836.46,6226.8,1325.74,44467.65,2024-01-01 07:00:00
10379.99,1749.1,6303.05,1433.68,14831.0,2696.05,6560.61,1357.33,45310.82,2024-01-01 08:00:00
10409.82,1797.37,6350.64,1465.27,14972.91,2836.56,6841.52,1362.13,46036.22,2024-01-01 09:00:00
10615.38,1772.4,6360.0,1462.4,14926.38,2983.17,7023.59,1352.33,46495.65,2024-01-01 10:00:00
10851.98,1770.51,6341.3,1442.75,14751.15,3059.99,7093.28,1347.96,46658.93,2024-01-01 11:00:00
11037.48,1694.77,6350.66,1399.54,14260.12,3171.87,7055.1,1309.69,46279.24,2024-01-01 12:00:00
11153.52,1636.84,6327.25,1347.19,13742.68,3238.48,6961.17,1264.18,45671.31,2024-01-01 13:00:00
11138.28,1529.21,6267.26,1279.19,13104.78,3316.86,6750.05,1204.13,44589.75,2024-01-01 14:00:00
11132.89,1479.2,6261.95,1232.18,12646.42,3354.64,6659.79,1151.93,43918.99,2024-01-01 15:00:00
11219.91,1481.1,6268.56,1214.71,12541.38,3277.59,6643.24,1135.61,43782.11,2024-01-01 16:00:00
11357.37,1532.37,6232.44,1228.88,12803.29,3258.77,6809.85,1140.5,44363.47,2024-01-01 17:00:00
11843.42,1676.05,6243.66,1283.68,13919.73,3363.08,7279.16,1178.53,46787.29,2024-01-01 18:00:00
12095.19,1792.69,6299.34,1357.88,14838.96,3481.7,7757.68,1264.51,48887.94,2024-01-01 19:00:00
12046.07,1820.55,6261.65,1389.97,15087.36,3420.73,7810.92,1284.94,49122.19,2024-01-01 20:00:00
11982.72,1840.72,6235.04,1414.71,15237.66,3389.35,7842.9,1312.22,49255.31,2024-01-01 21:00:00
11839.35,1858.98,6259.76,1404.55,15153.73,3316.58,7758.79,1335.54,48927.28,2024-01-01 22:00:00
11528.26,1824.54,6240.39,1388.6,14802.32,3204.41,7560.56,1321.13,47870.22,2024-01-01 23:00:00
11167.11,1795.95,6185.1,1330.99,14421.85,3108.15,7285.44,1300.07,46594.65,2024-01-02 00:00:00
10942.11,1785.57,6196.63,1323.68,14188.06,2941.02,7058.15,1329.84,45765.06,2024-01-02 01:00:00
10812.57,1798.18,6217.12,1313.24,14132.32,2870.03,6891.75,1322.64,45357.84,2024-01-02 02:00:00
10760.42,1840.92,6209.98,1294.33,14258.44,2816.56,6828.46,1332.85,45341.96,2024-01-02 03:00:00
10866.23,1870.76,6138.48,1288.47,14438.93,2795.96,6834.45,1338.95,45572.24,2024-01-02 04:00:00
11170.62,1900.63,6149.67,1311.71,14882.02,2804.34,6977.68,1361.61,46558.29,2024-01-02 05:00:00
11743.53,2054.22,6240.95,1364.42,15769.71,2935.17,7350.22,1402.8,48861.01,2024-01-02 06:00:00
12498.12,2162.59,6349.59,1444.52,16793.64,3078.03,7865.65,1472.87,51665.01,2024-01-02 07:00:00
12940.49,2288.03,6440.75,1497.04,17377.1,3122.74,8253.26,1531.12,53450.53,2024-01-02 08:00:00
13198.53,2261.65,6307.75,1485.5,17359.15,3188.09,8467.07,1532.97,53800.71,2024-01-02 09:00:00
13390.77,2184.69,6547.15,1551.76,17091.19,3272.26,8527.05,1543.94,54108.82,2024-01-02 10:00:00
13452.06,2052.04,6497.36,1519.12,16333.29,3350.85,8531.66,1528.57,53264.97,2024-01-02 11:00:00
13448.31,1914.87,6511.61,1460.57,15376.63,3388.38,8481.84,1512.78,52094.97,2024-01-02 12:00:00
13315.75,1797.74,6543.95,1416.66,14761.58,3427.95,8509.96,1510.93,51284.53,2024-01-02 13:00:00
13252.83,1680.69,6577.97,1390.96,14969.99,3449.9,8525.79,1501.6,51349.73,2024-01-02 14:00:00
13094.92,1676.86,6576.21,1383.03,15178.54,3453.6,8524.37,1485.46,51372.99,2024-01-02 15:00:00
13082.36,1663.15,6581.8,1375.01,15396.99,3464.83,8532.28,1487.19,51583.61,2024-01-02 16:00:00
13101.7,1732.78,6584.54,1396.02,15719.6,3543.25,8649.3,1492.81,52220.01,2024-01-02 17:00:00
13539.68,1860.87,6470.39,1416.06,16359.19,3586.51,8934.15,1525.95,53692.81,2024-01-02 18:00:00
