,fridge_1,fridge_2,fridge_3,fridge_4,fridge_5,fridge_6,fridge_7,fridge_8,fridge_9,fridge_10,fridge_11,fridge_12,fridge_13,fridge_14,fridge_15,fridge_16,fridge_17,fridge_18,fridge_19,fridge_20,fridge_21,fridge_22,fridge_23,fridge_24,fridge_25,fridge_26,fridge_27,fridge_28,fridge_29,fridge_30,fridge_31,fridge_32,fridge_33,fridge_34,fridge_35,fridge_36,fridge_37,fridge_38,fridge_39,fridge_40,fridge_41,fridge_42,fridge_43,fridge_44,fridge_45,fridge_46,fridge_47,fridge_48,fridge_49,fridge_50,fridge_51,fridge_52,fridge_53,fridge_54,fridge_55,fridge_56,fridge_57,fridge_58,fridge_59,fridge_60,fridge_61,fridge_62,fridge_63,fridge_64,fridge_65,fridge_66,fridge_67,fridge_68,fridge_69,fridge_70,fridge_71,fridge_72,fridge_73,fridge_74,fridge_75,fridge_76,fridge_77,fridge_78,fridge_79,fridge_80,fridge_81,fridge_82,fridge_83,fridge_84,fridge_85,fridge_86,fridge_87,fridge_88,fridge_89,fridge_90,fridge_91,fridge_92,fridge_93,fridge_94,fridge_95,fridge_96,fridge_97,fridge_98,fridge_99,fridge_100
0,76.0,0,0,0,0.0,75,0,0.0,0.0,0.0,0.0,119.0,116.0,113.0,0.0,118.0,116.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,125.0,0.0,125.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1353.0,44.0,2.0,2.0,44.0,45.0,43.0,2.0,2.0,42.0,187.0,2.0,42.0,44.0,2.0,41.0,2.0,42.0,42.0,41.0,43.0,2.0,44.0,44.0,43.0,45.0,2.0,2.0,2.0,90.0,41.0,904.0,0.0,0.0,0.0,61.0,0.0,0.0,0.0,55.0,0.0,0.0,978.0,0.0,0.0,72.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.0,55.0,0.0,58.0,62.0,53.0,54.0,0.0
1,76.0,0,0,0,0.0,74,0,0.0,0.0,0.0,0.0,9.0,114.0,7.0,0.0,116.0,113.0,0.0,852.0,0.0,0.0,1346.0,0.0,1348.0,0.0,118.0,0.0,119.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1391.0,130.0,44.0,2.0,2.0,44.0,45.0,43.0,2.0,2.0,42.0,188.0,2.0,42.0,44.0,2.0,41.0,2.0,41.0,42.0,41.0,43.0,2.0,44.0,43.0,43.0,45.0,2.0,2.0,2.0,90.0,41.0,73.0,0.0,0.0,0.0,58.0,0.0,0.0,914.0,54.0,0.0,0.0,61.0,0.0,0.0,61.0,939.0,0.0,0.0,0.0,0.0,0.0,0.0,55.0,53.0,0.0,56.0,59.0,0.0,35.0,0.0
2,76.0,0,0,0,0.0,74,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,116.0,0.0,0.0,133.0,0.0,0.0,136.0,0.0,133.0,0.0,118.0,0.0,121.0,1364.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,137.0,119.0,45.0,2.0,2.0,45.0,46.0,42.0,2.0,2.0,42.0,188.0,2.0,41.0,44.0,2.0,41.0,2.0,41.0,42.0,41.0,43.0,2.0,44.0,43.0,43.0,45.0,2.0,2.0,2.0,89.0,41.0,60.0,0.0,0.0,0.0,55.0,0.0,0.0,63.0,0.0,0.0,0.0,58.0,0.0,0.0,58.0,61.0,0.0,0.0,0.0,0.0,0.0,0.0,53.0,0.0,0.0,54.0,57.0,0.0,0.0,0.0
3,76.0,0,0,0,278.0,74,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,121.0,0.0,0.0,128.0,0.0,128.0,1.0,116.0,0.0,119.0,136.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,128.0,118.0,45.0,2.0,2.0,45.0,45.0,42.0,2.0,2.0,41.0,188.0,2.0,41.0,44.0,2.0,41.0,2.0,41.0,41.0,41.0,44.0,2.0,44.0,43.0,42.0,45.0,2.0,2.0,2.0,89.0,2.0,57.0,0.0,0.0,0.0,53.0,0.0,968.0,60.0,0.0,0.0,0.0,55.0,0.0,0.0,56.0,58.0,0.0,0.0,0.0,0.0,933.0,0.0,1.0,0.0,0.0,7.0,55.0,0.0,0.0,0.0
4,76.0,0,0,0,78.0,74,0,76.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,118.0,0.0,0.0,119.0,0.0,119.0,1.0,113.0,0.0,117.0,125.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1388.0,0.0,122.0,118.0,45.0,2.0,2.0,45.0,44.0,42.0,2.0,2.0,41.0,188.0,2.0,41.0,45.0,2.0,41.0,2.0,41.0,41.0,41.0,43.0,2.0,44.0,43.0,42.0,45.0,2.0,2.0,2.0,89.0,2.0,55.0,0.0,0.0,0.0,52.0,0.0,61.0,58.0,0.0,0.0,0.0,54.0,0.0,0.0,55.0,56.0,0.0,949.0,0.0,0.0,61.0,0.0,0.0,0.0,0.0,0.0,53.0,0.0,0.0,0.0
5,76.0,0,0,0,73.0,74,0,80.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,119.0,0.0,0.0,119.0,0.0,121.0,1375.0,111.0,0.0,117.0,121.0,752.5,1.0,0.0,1380.0,0.0,0.0,0.0,136.0,0.0,122.0,116.0,45.0,2.0,2.0,45.0,43.0,42.0,2.0,2.0,41.0,188.0,2.0,41.0,45.0,2.0,41.0,2.0,41.0,41.0,41.0,43.0,34.0,44.0,43.0,42.0,45.0,2.0,35.0,2.0,88.0,2.0,53.0,0.0,0.0,935.0,0.0,0.0,58.0,55.0,0.0,0.0,899.0,0.0,0.0,0.0,2.0,55.0,0.0,64.0,0.0,0.0,58.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0
6,76.0,0,0,0,73.0,74,0,73.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,117.0,0.0,0.0,119.0,0.0,119.0,134.0,0.0,0.0,5.0,121.0,137.0,1.0,0.0,152.0,0.0,0.0,0.0,125.0,0.0,121.0,115.0,45.0,2.0,2.0,45.0,43.0,42.0,2.0,2.0,41.0,187.0,2.0,41.0,45.0,2.0,41.0,2.0,41.0,41.0,41.0,43.0,36.0,45.0,43.0,42.0,45.0,2.0,38.0,2.0,88.0,2.0,0.0,0.0,0.0,61.0,0.0,0.0,55.0,53.0,0.0,0.0,61.0,0.0,0.0,0.0,0.0,9.0,0.0,60.0,0.0,0.0,56.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,76.0,0,0,0,74.0,74,0,68.0,0.0,261.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,116.0,0.0,0.0,116.0,0.0,116.0,124.0,1.0,0.0,0.0,119.0,132.0,0.0,0.0,136.0,0.0,0.0,0.0,123.0,0.0,121.0,0.0,45.0,2.0,2.0,46.0,43.0,42.0,2.0,2.0,41.0,187.0,2.0,41.0,45.0,2.0,41.0,2.0,41.0,41.0,41.0,43.0,38.0,45.0,42.0,42.0,44.0,2.0,44.0,2.0,88.0,2.0,0.0,0.0,0.0,58.0,0.0,0.0,53.0,2.0,0.0,0.0,58.0,0.0,0.0,899.0,0.0,0.0,0.0,58.0,0.0,0.0,54.0,0.0,0.0,0.0,989.0,0.0,0.0,0.0,0.0,0.0
8,76.0,0,0,0,74.0,76,0,68.0,0.0,80.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,116.0,0.0,0.0,117.0,0.0,114.0,116.0,0.0,0.0,0.0,117.0,122.0,0.0,0.0,127.0,0.0,0.0,0.0,122.0,0.0,117.0,0.0,45.0,33.0,2.0,46.0,43.0,42.0,2.0,2.0,41.0,2.0,2.0,41.0,45.0,2.0,41.0,2.0,41.0,41.0,2.0,43.0,44.0,45.0,42.0,42.0,44.0,2.0,44.0,2.0,88.0,2.0,0.0,960.0,0.0,55.0,0.0,0.0,51.0,0.0,0.0,0.0,56.0,0.0,0.0,60.0,0.0,0.0,0.0,55.0,0.0,0.0,53.0,0.0,0.0,0.0,60.0,0.0,0.0,0.0,0.0,914.0
9,76.0,0,0,0,74.0,70,0,67.0,0.0,71.0,1375.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,117.0,0.0,0.0,0.0,115.0,124.0,0.0,0.0,128.0,0.0,0.0,0.0,122.0,0.0,0.0,0.0,44.0,36.0,2.0,46.0,42.0,42.0,2.0,2.0,41.0,2.0,2.0,41.0,45.0,2.0,41.0,2.0,41.0,41.0,2.0,43.0,44.0,45.0,42.0,42.0,44.0,2.0,44.0,2.0,87.0,2.0,0.0,60.0,0.0,54.0,0.0,0.0,0.0,0.0,0.0,914.0,53.0,0.0,0.0,57.0,0.0,0.0,0.0,54.0,0.0,0.0,5.0,0.0,0.0,0.0,58.0,0.0,0.0,0.0,0.0,61.0
